split,sample_index,cyclone_id,t_zero,missing_input_flag,noncausal_input_flag,affected_features,synthetic_target_flag,quality_status,quality_detail
train,0,2013130N04093,2013-05-10 18:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
train,1,2013130N04093,2013-05-10 21:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
train,2,2013130N04093,2013-05-11 00:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
train,3,2013130N04093,2013-05-11 03:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
train,4,2013130N04093,2013-05-11 06:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
train,5,2013130N04093,2013-05-11 09:00:00,False,False,none,False,CLEAN,CLEAN
train,6,2013130N04093,2013-05-11 12:00:00,False,False,none,False,CLEAN,CLEAN
train,7,2013130N04093,2013-05-11 15:00:00,False,False,none,False,CLEAN,CLEAN
train,8,2013130N04093,2013-05-11 18:00:00,False,False,none,False,CLEAN,CLEAN
train,9,2013130N04093,2013-05-11 21:00:00,False,False,none,False,CLEAN,CLEAN
train,10,2013130N04093,2013-05-12 00:00:00,False,False,none,False,CLEAN,CLEAN
train,11,2013130N04093,2013-05-12 03:00:00,False,False,none,False,CLEAN,CLEAN
train,12,2013130N04093,2013-05-12 06:00:00,False,False,none,False,CLEAN,CLEAN
train,13,2013130N04093,2013-05-12 09:00:00,False,False,none,False,CLEAN,CLEAN
train,14,2013130N04093,2013-05-12 12:00:00,False,False,none,False,CLEAN,CLEAN
train,15,2013130N04093,2013-05-12 15:00:00,False,False,none,False,CLEAN,CLEAN
train,16,2013130N04093,2013-05-12 18:00:00,False,False,none,False,CLEAN,CLEAN
train,17,2013130N04093,2013-05-12 21:00:00,False,False,none,False,CLEAN,CLEAN
train,18,2013130N04093,2013-05-13 00:00:00,False,False,none,False,CLEAN,CLEAN
train,19,2013130N04093,2013-05-13 03:00:00,False,False,none,False,CLEAN,CLEAN
train,20,2013130N04093,2013-05-13 06:00:00,False,False,none,False,CLEAN,CLEAN
train,21,2013130N04093,2013-05-13 09:00:00,False,False,none,False,CLEAN,CLEAN
train,22,2013130N04093,2013-05-13 12:00:00,False,False,none,False,CLEAN,CLEAN
train,23,2013130N04093,2013-05-13 15:00:00,False,False,none,False,CLEAN,CLEAN
train,24,2013130N04093,2013-05-13 18:00:00,False,False,none,False,CLEAN,CLEAN
train,25,2013130N04093,2013-05-13 21:00:00,False,False,none,False,CLEAN,CLEAN
train,26,2013130N04093,2013-05-14 00:00:00,False,False,none,False,CLEAN,CLEAN
train,27,2013130N04093,2013-05-14 03:00:00,False,False,none,False,CLEAN,CLEAN
train,28,2013130N04093,2013-05-14 06:00:00,False,False,none,False,CLEAN,CLEAN
train,29,2013130N04093,2013-05-14 09:00:00,False,False,none,False,CLEAN,CLEAN
train,30,2013130N04093,2013-05-14 12:00:00,False,False,none,False,CLEAN,CLEAN
train,31,2013130N04093,2013-05-14 15:00:00,False,False,none,False,CLEAN,CLEAN
train,32,2013130N04093,2013-05-14 18:00:00,False,False,none,False,CLEAN,CLEAN
train,33,2013130N04093,2013-05-14 21:00:00,False,False,none,False,CLEAN,CLEAN
train,34,2013130N04093,2013-05-15 00:00:00,False,False,none,False,CLEAN,CLEAN
train,35,2013130N04093,2013-05-15 03:00:00,False,False,none,False,CLEAN,CLEAN
train,36,2013130N04093,2013-05-15 06:00:00,False,False,none,False,CLEAN,CLEAN
train,37,2013130N04093,2013-05-15 09:00:00,False,False,none,False,CLEAN,CLEAN
train,38,2013130N04093,2013-05-15 12:00:00,False,False,none,False,CLEAN,CLEAN
train,39,2013130N04093,2013-05-15 15:00:00,False,False,none,False,CLEAN,CLEAN
train,40,2013130N04093,2013-05-15 18:00:00,False,False,none,False,CLEAN,CLEAN
train,41,2013281N12098,2013-10-08 12:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
train,42,2013281N12098,2013-10-08 15:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
train,43,2013281N12098,2013-10-08 18:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
train,44,2013281N12098,2013-10-08 21:00:00,True,True,pressure|wind_speed,False,NON_CAUSAL_RISK,NON_CAUSAL_RISK_MISSING_CORE
